Year,Coal,Gas,Oil,Renewable
1980,2.24,0.97,10.74,1.71
1981,2.48,0.99,10.42,1.75
1982,2.47,1.00,9.77,1.88
1983,2.42,1.07,9.41,2.02
1984,2.71,1.44,9.61,2.13
1985,2.85,1.54,9.07,2.46
1986,2.73,1.56,9.19,2.55
1987,2.72,1.62,9.30,2.81
1988,2.95,1.69,9.96,2.86
1989,2.94,1.81,10.35,2.91
1990,3.10,2.19,10.69,2.97
1991,3.14,2.34,10.75,3.15
1992,3.10,2.37,10.99,3.07
1993,3.18,2.43,10.75,3.44
1994,3.30,2.54,11.29,3.36
1995,3.44,2.63,11.33,3.75
1996,3.50,2.75,11.43,3.87
1997,3.57,2.85,11.31,4.19
1998,3.43,2.91,10.89,4.26
1999,3.59,3.08,11.16,4.10
2000,3.82,3.09,10.92,4.18
2001,3.95,3.07,10.68,4.13
2002,4.11,3.20,10.51,3.87
2003,4.29,3.31,10.78,3.49
2004,4.39,3.31,10.53,3.92
2005,4.56,3.29,10.51,4.13
2006,4.51,3.62,10.22,4.32
2007,4.68,3.97,9.95,3.98
2008,4.46,3.87,9.49,3.66
2009,4.19,3.86,8.61,3.87
2010,4.51,4.08,8.76,4.16
2011,4.38,4.74,8.80,2.91
2012,4.59,4.92,9.41,1.41
2013,4.93,4.88,9.07,1.56
2014,4.78,4.90,8.60,1.62
2015,4.72,4.65,8.37,1.80
2016,4.80,4.83,8.12,1.90
